<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.26	1.21698	1.21833	1.20617	1.20730	246262	0	9
2021.03.01	1.20686	1.21008	1.20271	1.20486	139128	0	9
2021.03.02	1.20486	1.20940	1.19912	1.20904	140672	0	9
2021.03.03	1.20904	1.21128	1.20424	1.20629	145104	0	9
2021.03.04	1.20626	1.20661	1.19612	1.19645	183594	0	9
2021.03.05	1.19645	1.19764	1.18926	1.19089	204023	0	9
2021.03.08	1.19166	1.19317	1.18437	1.18455	142036	0	9
2021.03.09	1.18452	1.19152	1.18353	1.19003	131013	0	1
2021.03.10	1.19003	1.19293	1.18684	1.19283	113756	0	1
2021.03.11	1.19281	1.19895	1.19155	1.19855	116456	0	1
2021.03.12	1.19862	1.19881	1.19095	1.19524	105262	0	1
2021.03.15	1.19392	1.19670	1.19107	1.19268	82742	0	1
2021.03.16	1.19268	1.19514	1.18820	1.19015	85697	0	1
2021.03.17	1.19015	1.19852	1.18858	1.19780	99170	0	1
2021.03.18	1.19781	1.19884	1.19058	1.19134	114961	0	1
2021.03.19	1.19134	1.19367	1.18734	1.19053	92163	0	1
2021.03.22	1.18748	1.19466	1.18711	1.19315	82948	0	1
2021.03.23	1.19315	1.19403	1.18417	1.18487	87041	0	1
2021.03.24	1.18487	1.18526	1.18093	1.18124	86522	0	1
2021.03.25	1.18124	1.18273	1.17615	1.17638	84620	0	1
2021.03.26	1.17637	1.18045	1.17633	1.17931	71289	0	1
2021.03.29	1.17884	1.17935	1.17603	1.17644	78238	0	1
2021.03.30	1.17640	1.17748	1.17109	1.17160	74996	0	1
2021.03.31	1.17160	1.17595	1.17037	1.17300	77546	0	1
2021.04.01	1.17301	1.17796	1.17123	1.17759	78232	0	1
2021.04.02	1.17759	1.17862	1.17487	1.17618	30694	0	1
2021.04.05	1.17577	1.18190	1.17373	1.18120	46560	0	13
2021.04.06	1.18119	1.18771	1.17949	1.18752	78331	0	13
2021.04.07	1.18752	1.19142	1.18604	1.18648	77615	0	1
2021.04.08	1.18651	1.19269	1.18603	1.19128	67454	0	1
2021.04.09	1.19125	1.19197	1.18667	1.19011	69068	0	1
2021.04.12	1.18905	1.19186	1.18707	1.19101	68723	0	1
2021.04.13	1.19100	1.19553	1.18776	1.19476	94276	0	1
2021.04.14	1.19476	1.19869	1.19469	1.19791	75990	0	1
2021.04.15	1.19795	1.19929	1.19556	1.19657	74547	0	1
2021.04.16	1.19651	1.19943	1.19501	1.19818	64340	0	1
2021.04.19	1.19719	1.20476	1.19421	1.20369	82090	0	1
2021.04.20	1.20369	1.20795	1.20219	1.20353	81066	0	1
2021.04.21	1.20353	1.20432	1.19981	1.20343	66381	0	1
2021.04.22	1.20343	1.20692	1.19932	1.20145	85175	0	1
2021.04.23	1.20146	1.20995	1.20123	1.20967	72649	0	1
2021.04.26	1.20919	1.21163	1.20606	1.20843	69240	0	1
2021.04.27	1.20840	1.20924	1.20563	1.20883	61869	0	1
2021.04.28	1.20883	1.21342	1.20557	1.21252	91512	0	1
2021.04.29	1.21248	1.21496	1.21017	1.21200	76328	0	1
2021.04.30	1.21200	1.21261	1.20162	1.20197	79996	0	1
2021.05.03	1.20298	1.20758	1.20126	1.20633	58940	0	1
2021.05.04	1.20633	1.20645	1.19986	1.20125	76692	0	1
2021.05.05	1.20126	1.20262	1.19856	1.20037	60463	0	1
2021.05.06	1.20037	1.20712	1.19926	1.20644	68920	0	1
2021.05.07	1.20648	1.21710	1.20524	1.21629	103952	0	1
2021.05.10	1.21611	1.21777	1.21274	1.21289	81386	0	1
2021.05.11	1.21289	1.21812	1.21225	1.21475	90790	0	1
2021.05.12	1.21475	1.21517	1.20651	1.20714	125230	0	1
2021.05.13	1.20711	1.21057	1.20510	1.20805	106574	0	1
2021.05.14	1.20792	1.21472	1.20704	1.21455	79132	0	1
2021.05.17	1.21443	1.21684	1.21256	1.21509	69335	0	1
2021.05.18	1.21508	1.22335	1.21495	1.22214	75073	0	1
2021.05.19	1.22214	1.22449	1.21596	1.21743	115537	0	1
2021.05.20	1.21743	1.22286	1.21685	1.22270	75298	0	1
2021.05.21	1.22270	1.22393	1.21604	1.21799	85286	0	1
2021.05.24	1.21704	1.22295	1.21704	1.22146	70756	0	0
2021.05.25	1.22146	1.22660	1.22110	1.22484	81922	0	1
2021.05.26	1.22484	1.22624	1.21814	1.21911	76995	0	1
2021.05.27	1.21911	1.22145	1.21747	1.21942	80489	0	1
2021.05.28	1.21942	1.22043	1.21322	1.21917	75819	0	1
2021.05.31	1.21994	1.22309	1.21829	1.22245	44205	0	1
2021.06.01	1.22241	1.22540	1.22116	1.22124	65046	0	1
2021.06.02	1.22124	1.22261	1.21637	1.22101	66089	0	1
2021.06.03	1.22102	1.22138	1.21179	1.21262	74367	0	1
2021.06.04	1.21262	1.21854	1.21035	1.21660	80765	0	1
2021.06.07	1.21588	1.22015	1.21446	1.21889	47786	0	1
2021.06.08	1.21889	1.21936	1.21639	1.21724	58210	0	1
2021.06.09	1.21724	1.22176	1.21707	1.21793	46914	0	1
2021.06.10	1.21793	1.21943	1.21430	1.21705	83508	0	1
2021.06.11	1.21676	1.21925	1.20922	1.21073	60281	0	1
2021.06.14	1.21047	1.21301	1.20938	1.21182	50440	0	1
2021.06.15	1.21177	1.21469	1.21009	1.21259	55063	0	1
2021.06.16	1.21259	1.21343	1.19934	1.19938	105181	0	1
2021.06.17	1.19937	1.20059	1.18913	1.19072	119375	0	1
2021.06.18	1.19069	1.19246	1.18468	1.18622	117363	0	1
2021.06.21	1.18544	1.19209	1.18472	1.19172	96001	0	1
2021.06.22	1.19172	1.19521	1.18805	1.19386	81170	0	1
2021.06.23	1.19386	1.19696	1.19110	1.19252	77899	0	1
2021.06.24	1.19252	1.19558	1.19172	1.19313	68388	0	1
2021.06.25	1.19313	1.19748	1.19259	1.19349	65888	0	1
2021.06.28	1.19319	1.19440	1.19019	1.19258	66089	0	1
2021.06.29	1.19256	1.19296	1.18773	1.18963	67789	0	1
2021.06.30	1.18963	1.19085	1.18446	1.18564	91851	0	1
2021.07.01	1.18566	1.18838	1.18370	1.18494	84412	0	1
2021.07.02	1.18498	1.18737	1.18066	1.18657	92970	0	1
2021.07.05	1.18607	1.18801	1.18510	1.18611	50042	0	1
2021.07.06	1.18611	1.18948	1.18067	1.18231	98864	0	1
2021.07.07	1.18231	1.18356	1.17812	1.17899	94014	0	1
2021.07.08	1.17899	1.18674	1.17831	1.18429	119362	0	1
2021.07.09	1.18431	1.18806	1.18246	1.18762	84107	0	1
2021.07.12	1.18741	1.18797	1.18357	1.18591	78138	0	1
2021.07.13	1.18591	1.18747	1.17717	1.17758	108871	0	1
2021.07.14	1.17758	1.18383	1.17715	1.18350	101835	0	1
2021.07.15	1.18350	1.18502	1.17959	1.18116	96859	0	1
2021.07.16	1.18119	1.18219	1.17917	1.18044	87270	0	1
2021.07.19	1.18065	1.18241	1.17633	1.17992	118810	0	1
