<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.20	22:00:00	1.10911	1.10973	1.10905	1.10973	848	0	7
2020.01.20	23:00:00	1.10971	1.10971	1.10936	1.10954	576	0	7
2020.01.21	00:00:00	1.10936	1.10972	1.10929	1.10964	222	0	12
2020.01.21	01:00:00	1.10959	1.10964	1.10929	1.10957	284	0	8
2020.01.21	02:00:00	1.10957	1.10962	1.10903	1.10918	503	0	7
2020.01.21	03:00:00	1.10918	1.10926	1.10882	1.10901	864	0	8
2020.01.21	04:00:00	1.10901	1.10959	1.10901	1.10952	638	0	8
2020.01.21	05:00:00	1.10952	1.10982	1.10936	1.10968	570	0	7
2020.01.21	06:00:00	1.10968	1.10988	1.10941	1.10986	372	0	8
2020.01.21	07:00:00	1.10987	1.10987	1.10946	1.10947	348	0	8
2020.01.21	08:00:00	1.10948	1.10969	1.10932	1.10937	667	0	8
2020.01.21	09:00:00	1.10936	1.10962	1.10910	1.10917	1379	0	6
2020.01.21	10:00:00	1.10917	1.10957	1.10858	1.10899	1698	0	7
2020.01.21	11:00:00	1.10900	1.10930	1.10850	1.10899	1362	0	6
2020.01.21	12:00:00	1.10902	1.11094	1.10895	1.11032	1936	0	8
2020.01.21	13:00:00	1.11032	1.11096	1.11013	1.11048	1427	0	7
2020.01.21	14:00:00	1.11048	1.11084	1.10991	1.11076	1116	0	7
2020.01.21	15:00:00	1.11081	1.11176	1.11072	1.11131	1797	0	7
2020.01.21	16:00:00	1.11131	1.11132	1.11010	1.11025	1583	0	7
2020.01.21	17:00:00	1.11025	1.11032	1.10884	1.10973	1891	0	6
2020.01.21	18:00:00	1.10973	1.10993	1.10914	1.10952	1268	0	7
2020.01.21	19:00:00	1.10952	1.10959	1.10898	1.10911	710	0	8
2020.01.21	20:00:00	1.10912	1.10946	1.10891	1.10918	1005	0	8
2020.01.21	21:00:00	1.10919	1.10947	1.10910	1.10944	856	0	7
2020.01.21	22:00:00	1.10943	1.10947	1.10867	1.10868	681	0	7
2020.01.21	23:00:00	1.10868	1.10877	1.10805	1.10814	494	0	7
2020.01.22	00:00:00	1.10812	1.10832	1.10806	1.10821	430	0	12
2020.01.22	01:00:00	1.10818	1.10851	1.10818	1.10845	385	0	9
2020.01.22	02:00:00	1.10846	1.10863	1.10817	1.10821	618	0	8
2020.01.22	03:00:00	1.10821	1.10832	1.10772	1.10812	654	0	8
2020.01.22	04:00:00	1.10812	1.10818	1.10768	1.10799	736	0	7
2020.01.22	05:00:00	1.10800	1.10834	1.10792	1.10811	396	0	9
2020.01.22	06:00:00	1.10809	1.10826	1.10802	1.10819	227	0	9
2020.01.22	07:00:00	1.10818	1.10852	1.10816	1.10840	361	0	9
2020.01.22	08:00:00	1.10840	1.10857	1.10804	1.10822	561	0	9
